district_name,ntl_mean,ntl_std,ntl_max,ntl_per_capita,ntl_trend,ntl_yoy_change,ntl_iqr,pop_density,ndvi_mean,ndvi_std,urban_fraction,water_fraction,elevation_mean,elevation_std,road_density,ntl_mean_spatial_lag,ntl_per_capita_spatial_lag,ndvi_mean_spatial_lag,pop_density_spatial_lag
Gopalganj,-0.04569635394776672,-0.0032941218043742795,-0.06655033298525004,-0.021609708787222508,0.09027189204987796,-0.28309748959053266,-0.04213865491755872,0.059639098341722686,-0.048187914210346745,0.17161100873141688,0.06193613409423238,-0.06707907522150343,0.47334266563032484,-0.018791357280855174,-0.21885376289188835,-0.06286895956893468,-0.14418546834841175,-0.015070987473447494,-0.09951723681948273
Kishoreganj,-0.024570319497322704,0.029380870287132,0.024269298863868055,0.1309871201701153,0.10094853424323887,-0.27231574542677434,-0.3549706635685665,-0.05151824929817291,0.37026608444173703,-0.07672247012414135,0.013086222164522078,-0.11905856065322201,-0.6794997748219201,-0.01185373605214203,-0.17502186834461875,-0.3385405669762001,0.041277656624255296,0.42340693148344566,0.020308611484766335
Madaripur,-0.06645509194927204,-0.04115200597102534,-0.07233327864151817,0.026514704649467973,0.0747352765329562,0.08078757214567817,-0.251322323442205,0.07123445956302543,-0.010054672219106223,-0.010040115529752338,0.08039447205222858,-0.01746576620928877,-0.4381285018174712,-0.027412842513764277,-0.2754633025454449,-0.3605617025217559,-0.049234132829891294,0.07385982793609579,0.13895679831104388
Manikganj,-0.037830772165775184,0.03949769291086117,0.0176997690185339,-0.0004419215987072696,0.04417720770228358,-0.25499910418190136,-0.3575952691553775,0.14023980350939794,-0.0035125336318436017,-0.012123725826504204,0.07350417611818338,-0.10249318065800918,-0.7595636095098791,0.035138218651572385,-0.22308595071107246,-0.3147507050579217,0.1465264320511964,0.33080934489928354,0.05366350263567846
Munshiganj,-0.0857675372518506,0.02447395117540923,0.1505385558098421,0.007418940346014752,0.05570843027425173,-0.24631561007507488,-0.3080286663312756,-0.03600456631430285,0.011937189654375697,-0.06606565353530673,-0.018542053338246843,-0.05944802119003503,-0.5304025627612637,0.010643571478566436,-0.153617708514683,-0.235817383725447,0.12005100415521351,0.25215324308378906,0.0509442520600227
Narayanganj,-0.061072074927856504,0.022181695163543208,0.13836887698634365,-0.037715635828184976,0.05211428042135379,-0.28268777582217713,-0.3149564124531576,-0.07654406968804879,0.00906509772878044,-0.04972194431554684,-0.0490909717794351,-0.06510365226978339,-0.8986650925609067,-0.02703576984021014,0.5809422328123971,-0.21711790466092304,0.12104939866263931,0.005277476429158467,0.024571620942012547
Narsingdi,-0.03370700410220154,0.018123739472070646,0.10116984826558066,0.009579295328604019,0.0772500895390826,-0.23670073721812512,-0.28983756548626266,-0.06721340297439492,-0.0014830894682538228,-0.08248902321605227,-0.023027625060712518,-0.09095850162707082,-0.8300625752686087,0.04050506444669351,0.08111169994620752,-0.215885102827256,-0.09268333811235571,0.456450366631389,0.04671723673166492
Rajbari,-0.029607840923230114,-0.01188790820430188,-0.14770995912655815,-0.000858498421245823,-0.04726769609128322,0.5042231825538255,-0.0393685003860304,0.11208247420983611,-0.0026989876136300703,0.0356517097297544,0.09166624637862533,0.004850118323121429,-0.6916876843557298,0.0195333911103492,-0.3525615806117085,-0.3621618357695774,-0.015199364129191983,-0.0038616010557642982,0.05972370938273922
Shariatpur,-0.06268865222704542,-0.11705229671397732,0.048214176598732936,0.004392110691520232,0.03606619899969991,-0.12536502124963206,0.47835619000658475,0.05693267405635061,0.0027293286737190775,-0.0903690481649524,0.06253340770668336,-0.08006230512756154,-0.49629427166390855,-0.02617025830071684,-0.23204940199174312,-0.45905920287934854,0.15470029776755348,0.32997912412891767,-0.08993367531087637
Tangail,-0.034356986158421254,0.04888678771679698,0.03439799159391017,-0.004624019776760819,0.044942328994174614,-0.23438925714737327,-0.3802649028442216,0.07964676473291364,-0.0073786450920501605,-0.09809905043952187,0.032987273821455436,-0.1334877585285783,-0.5597747541230608,0.07358259037066565,-0.27089848777493786,-0.26254239199686724,0.22979787500475488,0.4048323988763817,0.05560161777073958
Bagerhat,-0.010674197303582619,-0.04826572257805264,-0.005008103058792409,-0.18865939242667637,-0.004601090959752713,-0.3415629117023919,1.321298717694334,-0.1390333857806054,-0.01879914145850651,-0.07063154461609644,0.08101350027633256,-0.04805713781485648,-0.44386315991665715,-0.12875083535242435,-0.4680641674589522,1.4497367144678617,-0.1889529946169014,-0.24985755015423122,-0.1204082222400471
Chuadanga,-0.05613777493809369,-0.12039004624195886,-0.25947191592496505,-0.05900695546311504,-0.11865294632923537,0.3841724808323595,-0.11978825448123526,0.0636123270899331,-0.06687751408104702,0.19752802672130004,-0.10787827330566503,0.305105336077786,-0.9482173125612846,-0.23873817399684788,0.019291936368204442,-0.42106121394596646,-0.2740725135831916,-0.8979704030112361,-0.1275874342257385
Jashore,-0.09536965464267656,0.017291412920967055,0.023468277462665853,-0.024414875264192625,0.04319322218503735,-0.3581280578222454,-0.5512422070811273,-0.08805517796404848,-0.022373696043326667,-0.008206075383233147,-0.0835275458479537,-0.13890510518960864,-1.013428217066044,-0.07262942763992412,0.3225665776662969,0.47826373289417484,-0.2764391426174991,-0.19076096550819577,-0.22744370005906445
Jhenaidah,-0.03626021202155418,-0.14422609829205668,-0.29636162683013956,-0.059529263379326486,-0.2212425179740301,-0.2020986288802059,0.05367920336619039,0.044626279801672344,-0.12205948587383206,0.1583295515633902,0.05364273122618225,0.3449793170672875,-0.8149158664642301,-0.1997283400397568,-0.24556980047929164,-0.4048132449767776,0.15911248671896472,-0.9599785509571662,0.011273441424680238
Khulna,-0.07110692475002724,0.014640678014600022,0.04000245023623884,-0.09338603464301479,0.017636443059819682,-0.3381991146759794,-0.5058370099713679,0.013597538645743083,-0.04124257747134439,-0.09678198900331225,-0.03282057081348151,-0.11223364391954106,-0.3600069822960162,-0.07542212684505487,-0.36149590226406425,-0.5471045021921546,-0.2692017878750582,-0.10559291172428814,-0.27458565651169664
Kushtia,-0.0998108546546358,0.028224847069910405,0.027776432506106494,-0.03399649557979827,-0.06599813847438615,-0.34421267592747784,-0.44202107240172744,-0.07593401034811742,-0.014154972071554695,-0.06355783043732943,-0.05572424938030669,-0.06527651817757281,-0.9479010067142223,-0.011043982362421897,-0.017324707953290892,-0.4182995697122793,-0.09702940699814551,-0.7016008346391847,-0.18825557874356558
Magura,-0.047412209176244995,-0.1546415676936837,-0.2515565024743175,0.007658124960684225,-0.06854938174100784,-0.20647194614850214,0.13232436949061088,0.04338158420444663,-0.028014629482628617,0.1687893133088282,-0.004498409902429586,-0.0856476505798169,-0.8415821833614201,-0.09764760002339692,-0.38212729319730177,-0.4512184662219481,0.05973503054115471,-0.8456827362389574,-0.14797847126406682
Meherpur,-0.04808747080682322,-0.08187282850578137,-0.1870288888770675,-0.032821350202244984,-0.13589779178762762,-0.3120691986274441,-0.315482319967878,0.0392228107488935,-0.12704351336596223,0.1480476299313941,-0.13056740279760212,0.45455062630832527,-0.7683727688544596,-0.2235371332917037,0.27403108254142905,-0.4093073939757365,-0.19685412817841738,-0.9950267652309751,-0.04502382006031607
Narail,-0.022412359529953393,0.01659440910186523,-0.09046835033164818,-0.007847591819126405,0.08258187644628874,-0.3370374147377064,0.1876507304696823,0.00980966659221057,-0.016618229939348673,0.02413429965141058,0.06332309276638906,-0.09529263487569974,-0.6382059032231492,-0.15852646879385837,-0.3457724584061437,-0.5042063159130948,-0.20636474497684018,-0.7871768786680781,-0.18130534881319932
Satkhira,0.3231879171575229,-0.007447896969780356,-0.19807457087692856,-0.03198855283550733,0.05343221168975967,-0.28644365313710074,-0.5738136961311505,-0.029039361831537405,0.12507694811254064,-0.05206345987933289,-0.012603497493426166,0.04079727800551326,0.3234306293890933,-0.14626943320494065,-0.28547791726415617,-0.46342804180115066,-0.21757594223724117,-0.0088714503400069,-0.17396813535216937
Jamalpur,-0.007902349629140614,0.055944523861337234,0.18811613376919226,0.11127657545067823,0.11281203858512173,0.6592361305212163,0.09135299540779636,0.19960517079910445,0.05296758265546015,-0.026990538886151542,0.04004654934802138,-0.04430368500037013,0.217632131613633,0.2001893358057892,0.7178510689497731,-0.22522937584835886,0.31484335003301395,0.6313693964142314,0.11304234114965173
Mymensingh,-0.03281989281936773,0.08129067584850845,0.2824051625141058,0.0936851956378687,0.16682875125418808,-0.15590146165983637,-0.23436938118596234,0.02296656757100643,0.08386258673787858,0.6229051321808579,0.07235724005964525,1.059574322744704,-0.31691547865812125,0.08808234250772513,0.26503882940562046,-0.2588747953705524,0.2673968385126176,0.8941493556234746,0.14019738409563634
Netrokona,0.3166160830224394,0.17345319750584576,0.004962341205764179,0.03641180178177498,0.17464771961275366,1.0352984909667726,0.315960469215451,0.14479556807106475,0.3171616648978036,0.019670170329711575,0.03385418763084551,-0.066833080083218,-0.5954260919365579,0.04798725491061671,0.6126008676168715,-0.23514198563112765,0.26228326466721996,0.7343357389386048,0.05222171227736201
Sherpur,-0.014807341772610498,0.17250829827888156,0.14334813753308065,0.07752092779878807,0.19404520365119254,0.5834562770970865,0.41552490760761374,0.10544581714546933,0.06792900810661961,0.2351920303896682,0.08728566266370892,0.5818994336916594,0.48718928247139714,0.1460373262917267,-0.44148283256182846,-0.2605939228158702,0.33686783440821805,-0.07438788766642174,0.19588121268162068
Bogura,-0.03989340338138033,0.01631430626938851,0.022269154643494833,0.004724185438754371,-0.04503533414502734,-0.28152746706413845,-0.449317468954542,-0.06512048779043503,0.005099172758626638,-0.04899152820100176,-0.10674683370676594,-0.09602179819931862,-0.5087150048873113,-0.021748122894948374,-0.3194775890299847,-0.4193722012290244,0.17887465806416172,0.105747303652864,-0.012202166343411881
Joypurhat,-0.03206004109086335,-0.06042562448313933,-0.1682033244527225,-0.01951747050564403,-0.2272265262776025,0.3572243437393486,-0.15852465016436448,0.04503930976666592,-0.07072366662808793,0.09655294807147677,-0.10716522879209539,0.4448885434973664,0.13321129370083953,-0.12470922753530467,-0.6087994636286428,-0.3595918515000236,-0.12922062027453443,-0.06399321165520735,-0.10789615678746486
Naogaon,-0.035158302039502015,-0.11447660992304506,-0.2499280140000461,-0.013800547009912128,-0.24702593343329238,0.03540648276608655,0.11728447538933634,0.02785823204184937,0.0025460681887013222,0.12016395816643587,-0.16315692967294085,0.34375073525030597,-0.0758703538768139,0.04736161668912019,-0.7201723038697367,-0.32047148427042166,0.06598915379367035,-0.12730841031901471,-0.027132458870779336
Natore,-0.02612981032159096,-0.044847302099600264,-0.14767339653626757,-0.050084016022292704,-0.1826296334664736,0.24214230526662892,-0.07986645527087603,0.05677986361904112,-0.03075346871657716,-0.02623433788912387,0.003708959222625273,-0.10057107179423776,-0.7417818212040005,-0.1343574217458737,-0.4585796501197915,-0.40032361445199616,0.05468660005610428,0.22963003031590162,0.06674361615840035
Chapai Nawabganj,-0.011092678542863364,-0.014670772617177762,-0.10214161891119754,0.03528382247233797,-0.06773728186089414,0.38107327309148337,-0.37094606590012996,0.010159911240298074,0.004409812304876004,-0.0614087644010965,-0.17623346679237445,-0.0697477152720948,0.8235250867640137,0.07051466474104712,-0.8046329636898576,-0.3791518116008167,-0.13691754322978733,-0.03576931179828762,-0.11165720099747699
Pabna,-0.07529638247063197,0.0007726768394051096,0.12023380627400151,0.025989548023010664,-0.1290078830141665,0.7193866925141403,-0.46116596077103983,-0.11249658078802897,-0.003760193922189287,-0.058630961008454094,-0.007809004693601674,-0.12988395865625169,-0.8789794993818535,0.019621028408146265,-0.297860932583941,-0.33751821080226774,0.17488339334945333,0.2808927030393207,0.0314890946449486
Rajshahi,-0.027913248793145867,0.020859478670840773,0.07049663861344285,-0.007412502999172508,0.03645954758675732,-0.3151277774080353,-0.3408252238127053,-0.030619246825955876,0.020450207890700154,-0.08374315112661551,-0.10365683847502395,-0.0821360330606905,-0.13505460165381464,0.08210029572144503,-0.44112066186257437,-0.37460012171596163,0.08761992248544062,-0.13615373359132327,-0.14376357464360878
Sirajganj,-0.052071721999041434,0.02581431341587243,0.029779276673968097,0.15093979445629727,0.06255286368929666,-0.30047389195620694,-0.490817267064007,-0.07203828178204033,0.09617965801166616,-0.06130152722597577,0.008786603878953296,-0.12876001517543437,-0.7337047924654816,-0.008116858612272692,-0.20423663526125685,-0.355270729317434,-0.0025015425678831874,0.0070069258778651606,0.040093202423115246
Dinajpur,0.07322094973833115,0.2166190226508326,0.12857012184140204,-0.0029051614226385815,0.17629051930847206,-0.07105285942851257,0.3066168906353014,0.09330192356295189,0.05792275055478771,0.3029366923735103,-0.12068180020771514,0.3891509216937839,2.307466468174073,0.1704305632481004,1.3616220612193581,-0.19715442230938485,-0.09951069472350915,-0.46245243164234845,0.0004678597332023141
Gaibandha,-0.021516506470075834,0.010035296415781585,0.07040648630633561,0.2999375158580545,-0.025784172627628308,0.8773284440197711,0.48595854982137116,-0.05507572556498382,0.02473110722112665,0.0121760280217496,0.05755292046702003,-0.003163542408196671,1.4550257460125016,0.07673695049751517,0.3096228201808579,-0.23569308816940404,0.12816667636537896,0.08391335470930418,0.0565005143435227
Kurigram,0.005147980444357849,-0.002572279032544553,-0.12500722809668788,0.09809517837770909,-0.061642381780357906,0.820968837656115,0.028260091983327525,0.12897401859513122,0.35448256782845183,0.015394555707457156,0.08082484758797219,0.1091327240036062,1.8471569636894822,0.19051347077511668,0.8535187509045725,-0.17552543430195253,0.253677387565126,0.11606352662422499,0.12839579646889535
Lalmonirhat,-0.031867441671252446,0.0904508395521814,0.07501371640470648,0.007748429621210942,-0.07755792413714054,0.7284918735528852,-0.2711539679291361,0.1474442157463722,0.03441381117546342,0.018901421849855122,0.06826563855258519,-0.019121111455185146,2.515127128030645,0.10251513319814516,0.844286626185333,-0.19887389066678055,0.32329551546954144,0.07683294412071345,0.11264641739985749
Nilphamari,0.04587577024834164,0.15978109455178505,0.09218621137479255,0.042178286969271894,-0.15200311192734628,1.2006529566720885,0.3639223871280899,0.017522552257177696,0.013304264931042111,0.04440803764189621,0.062003786006736526,-0.09007175423701715,2.517985675700901,0.13178947775270905,0.9920076627014506,-0.2085156014422612,-0.10941763417152688,-0.3483233091245948,-0.08142737803353925
Panchagarh,0.048241864720142934,0.08681786988770221,-0.19352574429963273,-0.02317101995464515,0.12115451215231401,0.5460829973745287,-0.22170276851298645,0.12637077645778116,-0.046376848098309206,0.3167492758667631,0.06446069042658009,0.019861460493646618,2.6473458023645944,0.1568826130548332,1.3120944455194263,-0.17693292638547115,-0.08638534039316344,-0.3939243721528553,-0.08918391352124697
Rangpur,0.01837190377423812,0.17218596136529463,0.096748824636787,0.017482198354727304,0.13429514934540135,-0.23614716258051013,0.42537805847103366,-0.0701457453730797,-0.01922245962762207,0.2961556521941664,0.007529261024709124,-0.07384556525417753,2.061277933818461,0.18231034512174113,0.8536679371248553,-0.22281346359001877,0.1863235266137724,0.37591967008079064,-0.004612650500566624
Thakurgaon,0.002861092320777277,0.014914586369036678,0.11027025379323366,-0.013699516574444442,0.18685584177578973,1.060388314850771,0.2976074333623928,0.12697511792763547,-0.02953718568914709,0.35396455881456096,0.022060247487910224,0.2893289672287328,2.4222730857653096,0.17096345910576127,0.8430384471329062,-0.22699436562332573,-0.10235497506445085,-0.43903513067950434,-0.015020857303943867
Habiganj,-0.013315869104847706,0.012036937252232755,0.15330338130539772,-0.04109240797184061,0.037907173201826634,-0.3163320925607639,-0.4188036105597824,0.08945743221245527,0.007868245799833645,-0.09536884861674827,0.04628031409257559,-0.12308638693345435,-0.5076069805633714,0.017167052138263514,-0.3085228913632274,-0.369682426432775,0.15864049633670066,0.41588607949768264,0.061123777269842826
Moulvibazar,-0.0073161700266840025,0.07967281142606124,0.05056648762924082,-0.0379668718076376,-0.08411643835794955,-0.16285893063995235,-0.3314524015206299,0.06176804029487867,-0.047540620588402326,-0.06636952960707944,-0.010690677347143455,-0.08735503772790491,0.9890683021374298,-0.10965843273953552,-0.829193786310061,-0.27686427192544427,-0.1600231446993113,0.4089292442329746,-0.07773919742285094
Sunamganj,0.32359807418410425,-0.09746345317914483,0.04552144455627023,0.011385368259419996,-0.17845572689428602,-0.3894665095834524,0.3304149536142706,0.09492224874652329,0.06598365500555117,-0.05707411873773256,0.1211580091390254,-0.03827198373938345,-0.8698441625870552,0.032232973536214744,0.32365272405028117,-0.3923546984066623,-0.09615679238646596,0.49294669558537557,-0.0948693261628546
Sylhet,-0.02820357859456154,-0.02338906479509676,0.11728829169078102,-0.014931052455108552,-0.04721840445796105,0.35093629681364275,-0.48212239464358103,-0.06660659713267662,0.08358496312385119,-0.08577519386567628,0.0016415690147284427,-0.14411459355607978,-0.7973233535047771,0.06983503680500888,0.6191002098092127,-0.3702242358494168,-0.2101360805169827,0.42968528101915143,-0.18816772390446043
